Category,German,Article,English,FigureOfSpeech,ExamplesGerman,ExamplesEnglish
People & Family,der Mann,der,man,noun,Das ist der Mann.; Der Mann liest eine Zeitung.; Der Mann arbeitet im Büro.,That is the man.; The man is reading a newspaper.; The man works in the office.
People & Family,die Frau,die,woman,noun,Das ist die Frau.; Die Frau kocht das Abendessen.; Die Frau spricht drei Sprachen.,That is the woman.; The woman is cooking dinner.; The woman speaks three languages.
People & Family,das Kind,das,child,noun,Das ist das Kind.; Das Kind spielt im Garten.; Das Kind lernt gerade lesen.,That is the child.; The child is playing in the garden.; The child is currently learning to read.
People & Family,der Junge,der,boy,noun,Das ist der Junge.; Der Junge fährt Fahrrad.; Der Junge hat viele Freunde.,That is the boy.; The boy is riding a bicycle.; The boy has many friends.
People & Family,das Mädchen,das,girl,noun,Das ist das Mädchen.; Das Mädchen malt ein Bild.; Das Mädchen singt ein Lied.,That is the girl.; The girl is painting a picture.; The girl is singing a song.
People & Family,die Familie,die,family,noun,Das ist die Familie.; Die Familie wohnt zusammen in einem Haus.; Die Familie feiert heute Geburtstag.,That is the family.; The family lives together in a house.; The family is celebrating a birthday today.
People & Family,der Vater,der,father,noun,Das ist der Vater.; Der Vater arbeitet als Ingenieur.; Der Vater hilft den Kindern bei den Hausaufgaben.,That is the father.; The father works as an engineer.; The father helps the children with their homework.
People & Family,die Mutter,die,mother,noun,Das ist die Mutter.; Die Mutter backt einen Kuchen.; Die Mutter liest ihrem Kind eine Geschichte vor.,That is the mother.; The mother is baking a cake.; The mother is reading a story to her child.
People & Family,der Bruder,der,brother,noun,Das ist der Bruder.; Der Bruder spielt Fußball.; Der Bruder ist älter als ich.,That is the brother.; The brother plays soccer.; The brother is older than me.
People & Family,die Schwester,die,sister,noun,Das ist die Schwester.; Die Schwester studiert Medizin.; Die Schwester singt im Chor.,That is the sister.; The sister is studying medicine.; The sister sings in the choir.
People & Family,der Sohn,der,son,noun,Das ist der Sohn.; Der Sohn geht zur Schule.; Der Sohn spielt gerne Videospiele.,That is the son.; The son goes to school.; The son likes to play video games.
People & Family,die Tochter,die,daughter,noun,Das ist die Tochter.; Die Tochter tanzt Ballett.; Die Tochter hilft im Haushalt.,That is the daughter.; The daughter dances ballet.; The daughter helps with the housework.
People & Family,die Eltern,die,parents,noun,Das ist die Eltern.; Die Eltern sind sehr freundlich.; Die Eltern arbeiten beide.,Those are the parents.; The parents are very friendly.; Both parents work.
People & Family,der Großvater,der,grandfather,noun,Das ist der Großvater.; Der Großvater erzählt Geschichten.; Der Großvater geht jeden Tag spazieren.,That is the grandfather.; The grandfather tells stories.; The grandfather goes for a walk every day.
People & Family,die Großmutter,die,grandmother,noun,Das ist die Großmutter.; Die Großmutter backt Kekse.; Die Großmutter liebt ihren Garten.,That is the grandmother.; The grandmother is baking cookies.; The grandmother loves her garden.
People & Family,der Freund,der,friend (male),noun,Das ist der Freund.; Mein Freund spielt gerne Fußball.; Hast du gestern deinen Freund getroffen?,That is the friend.; My friend likes to play soccer.; Did you meet your friend yesterday?
People & Family,die Freundin,die,friend (female),noun,Das ist die Freundin.; Meine Freundin liest gerne Bücher.; Sie hat ihre Freundin zum Geburtstag eingeladen.,That is the friend.; My friend likes to read books.; She invited her friend to the birthday.
People & Family,der Ehemann,der,husband,noun,Das ist der Ehemann.; Der Ehemann hilft seiner Frau im Haushalt.; Mein Ehemann arbeitet in der Stadt.,That is the husband.; The husband helps his wife with the household.; My husband works in the city.
People & Family,die Ehefrau,die,wife,noun,Das ist die Ehefrau.; Die Ehefrau kocht sehr gut.; Seine Ehefrau ist Ärztin.,That is the wife.; The wife cooks very well.; His wife is a doctor.
People & Family,das Baby,das,baby,noun,Das ist das Baby.; Das Baby schläft den ganzen Tag.; Wir haben ein neues Baby im Haus.,That is the baby.; The baby sleeps all day.; We have a new baby in the house.
People & Family,der Onkel,der,uncle,noun,Das ist der Onkel.; Mein Onkel besucht uns im Sommer.; Der Onkel erzählt immer lustige Geschichten.,That is the uncle.; My uncle visits us in the summer.; The uncle always tells funny stories.
People & Family,die Tante,die,aunt,noun,Das ist die Tante.; Die Tante backt einen Kuchen.; Unsere Tante wohnt in Berlin.,That is the aunt.; The aunt is baking a cake.; Our aunt lives in Berlin.
People & Family,der Cousin,der,cousin (male),noun,Das ist der Cousin.; Mein Cousin spielt Gitarre.; Der Cousin kommt nächste Woche zu Besuch.,That is the cousin.; My cousin plays guitar.; The cousin is coming to visit next week.
People & Family,die Cousine,die,cousin (female),noun,Das ist die Cousine.; Meine Cousine studiert Medizin.; Die Cousine wohnt in München.,That is the cousin.; My cousin studies medicine.; The cousin lives in Munich.
People & Family,der Name,der,name,noun,Das ist der Name.; Wie ist dein Name?; Sein Name ist sehr bekannt.,That is the name.; What is your name?; His name is very well known.
People & Family,der Nachname,der,surname,noun,Das ist der Nachname.; Mein Nachname ist Müller.; Sie hat einen seltenen Nachnamen.,That is the surname.; My surname is Müller.; She has a rare surname.
People & Family,der Vorname,der,first name,noun,Das ist der Vorname.; Mein Vorname ist Anna.; Kannst du mir deinen Vornamen sagen?,That is the first name.; My first name is Anna.; Can you tell me your first name?
People & Family,das Alter,das,age,noun,Das ist das Alter.; Wie alt bist du? Ich frage nach deinem Alter.; Das Alter spielt keine Rolle.,That is the age.; How old are you? I am asking about your age.; Age does not matter.
People & Family,ledig,,single,adjective,"Ich mag ledig.; Er ist noch ledig.; Sie bleibt ledig, bis sie die richtige Person findet.",I like single.; 1; He is still single.; She remains single until she finds the right person.
People & Family,verheiratet,,married,adjective,Ich mag verheiratet.; Sie sind seit zehn Jahren verheiratet.; Mein Bruder ist verheiratet und hat zwei Kinder.,I like married.; 2; They have been married for ten years.; My brother is married and has two children.
People & Family,geschieden,,divorced,adjective,Ich mag geschieden.; Sie ist seit zwei Jahren geschieden.; Er ist ein geschiedener Mann mit zwei Kindern.,I like divorced.; She has been divorced for two years.; He is a divorced man with two children.
People & Family,verwitwet,,widowed,adjective,Ich mag verwitwet.; Meine Großmutter ist seit fünf Jahren verwitwet.; Er lebt als verwitweter Mann allein.,I like widowed.; My grandmother has been widowed for five years.; He lives alone as a widowed man.
Food & Drink,das Brot,das,bread,noun,Das ist das Brot.; Ich esse jeden Morgen frisches Brot.; Kannst du bitte das Brot schneiden?,That is the bread.; I eat fresh bread every morning.; Can you please cut the bread?
Food & Drink,die Milch,die,milk,noun,Das ist die Milch.; Ich trinke jeden Tag ein Glas Milch.; Die Milch steht im Kühlschrank.,That is the milk.; I drink a glass of milk every day.; The milk is in the refrigerator.
Food & Drink,das Wasser,das,water,noun,Das ist das Wasser.; Bitte gib mir ein Glas Wasser.; Das Wasser im See ist sehr klar.,That is the water.; Please give me a glass of water.; The water in the lake is very clear.
Food & Drink,der Kaffee,der,coffee,noun,Das ist der Kaffee.; Ich trinke morgens gerne Kaffee.; Der Kaffee ist noch heiß.,That is the coffee.; I like to drink coffee in the morning.; The coffee is still hot.
Food & Drink,der Tee,der,tea,noun,Das ist der Tee.; Möchtest du eine Tasse Tee?; Der Tee schmeckt nach Minze.,That is the tea.; Would you like a cup of tea?; The tea tastes like mint.
Food & Drink,die Suppe,die,soup,noun,Das ist die Suppe.; Ich esse gern Tomatensuppe.; Die Suppe ist sehr heiß.,That is the soup.; I like to eat tomato soup.; The soup is very hot.
Food & Drink,der Fisch,der,fish,noun,Das ist der Fisch.; Wir essen heute gebratenen Fisch.; Der Fisch schwimmt im Aquarium.,That is the fish.; We are eating fried fish today.; The fish is swimming in the aquarium.
Food & Drink,das Fleisch,das,meat,noun,Das ist das Fleisch.; Ich kaufe frisches Fleisch vom Metzger.; Fleisch ist eine gute Proteinquelle.,That is the meat.; I buy fresh meat from the butcher.; Meat is a good source of protein.
Food & Drink,die Kartoffel,die,potato,noun,Das ist die Kartoffel.; Ich koche heute Kartoffeln zum Abendessen.; Kartoffeln sind vielseitig in der Küche.,That is the potato.; I am cooking potatoes for dinner today.; Potatoes are versatile in the kitchen.
Food & Drink,der Reis,der,rice,noun,Das ist der Reis.; Ich esse gerne Reis mit Gemüse.; Der Reis muss noch gekocht werden.,That is the rice.; I like to eat rice with vegetables.; The rice still needs to be cooked.
Food & Drink,das Gemüse,das,vegetables,noun,Das ist das Gemüse.; Frisches Gemüse ist gesund.; Ich habe viel Gemüse im Garten gepflanzt.,That is the vegetables.; Fresh vegetables are healthy.; I planted a lot of vegetables in the garden.
Food & Drink,das Obst,das,fruit,noun,Das ist das Obst.; Ich esse jeden Tag Obst zum Frühstück.; Das Obst ist reif und süß.,That is the fruit.; I eat fruit every day for breakfast.; The fruit is ripe and sweet.
Food & Drink,der Apfel,der,apple,noun,Das ist der Apfel.; Ein Apfel am Tag hält den Arzt fern.; Ich mag rote Äpfel lieber als grüne.,That is the apple.; An apple a day keeps the doctor away.; I prefer red apples to green ones.
Food & Drink,die Banane,die,banana,noun,Das ist die Banane.; Ich esse jeden Morgen eine Banane zum Frühstück.; Die Banane ist reich an Kalium.,That is the banana.; I eat a banana every morning for breakfast.; The banana is rich in potassium.
Food & Drink,die Orange,die,orange,noun,"Das ist die Orange.; Frischer Orangensaft schmeckt am besten.; Die Orange hat eine dicke, orangefarbene Schale.","That is the orange.; Fresh orange juice tastes best.; The orange has a thick, orange-colored peel."
Food & Drink,die Zitrone,die,lemon,noun,Das ist die Zitrone.; Eine Zitrone macht den Tee frisch und würzig.; Zitronensaft wird oft zum Kochen verwendet.,That is the lemon.; A lemon makes the tea fresh and spicy.; Lemon juice is often used in cooking.
Food & Drink,die Traube,die,grape,noun,Das ist die Traube.; Die Trauben hängen reif am Weinstock.; Ich mag rote Trauben lieber als grüne Trauben.,That is the grape.; The grapes hang ripe on the vine.; I like red grapes more than green grapes.
Food & Drink,die Tomate,die,tomato,noun,Das ist die Tomate.; Frische Tomaten sind lecker in Salaten.; Die Tomate ist eine wichtige Zutat in der italienischen Küche.,That is the tomato.; Fresh tomatoes are delicious in salads.; The tomato is an important ingredient in Italian cuisine.
Food & Drink,die Gurke,die,cucumber,noun,Das ist die Gurke.; Gurken sind erfrischend und gesund.; Im Sommer esse ich oft Gurkensalat.,"That is the cucumber.; Cucumbers are refreshing and healthy.; In summer, I often eat cucumber salad."
Food & Drink,der Salat,der,salad,noun,Das ist der Salat.; Zum Mittagessen gab es einen frischen Salat.; Ich mag Salat mit Olivenöl und Balsamico.,"That is the salad.; For lunch, there was a fresh salad.; I like salad with olive oil and balsamic vinegar."
Food & Drink,der Käse,der,cheese,noun,Das ist der Käse.; Käse schmeckt besonders gut auf frischem Brot.; Ich bevorzuge Käse aus der Schweiz.,That is the cheese.; Cheese tastes especially good on fresh bread.; I prefer cheese from Switzerland.
Food & Drink,die Butter,die,butter,noun,Das ist die Butter.; Butter macht den Kuchen saftig und lecker.; Zum Frühstück esse ich Butter auf meinem Brot.,"That is the butter.; Butter makes the cake moist and tasty.; For breakfast, I eat butter on my bread."
Food & Drink,das Ei,das,egg,noun,Das ist das Ei.; Ich koche jeden Morgen ein Ei.; Das Ei enthält viel Protein.,That is the egg.; I cook an egg every morning.; The egg contains a lot of protein.
Food & Drink,der Zucker,der,sugar,noun,Das ist der Zucker.; Ich nehme keinen Zucker in meinen Kaffee.; Zucker macht Kuchen süß.,That is the sugar.; I don’t take sugar in my coffee.; Sugar makes cakes sweet.
Food & Drink,das Salz,das,salt,noun,Das ist das Salz.; Bitte gib etwas Salz in die Suppe.; Salz ist ein wichtiges Gewürz beim Kochen.,That is the salt.; Please add some salt to the soup.; Salt is an important spice in cooking.
Food & Drink,der Pfeffer,der,pepper,noun,Das ist der Pfeffer.; Pfeffer gibt dem Essen eine scharfe Note.; Ich streue Pfeffer auf meinen Salat.,That is the pepper.; Pepper gives the food a spicy note.; I sprinkle pepper on my salad.
Food & Drink,das Öl,das,oil,noun,Das ist das Öl.; Zum Braten verwende ich Olivenöl.; Öl ist wichtig für eine ausgewogene Ernährung.,That is the oil.; I use olive oil for frying.; Oil is important for a balanced diet.
Food & Drink,der Honig,der,honey,noun,Das ist der Honig.; Honig ist eine natürliche Süßigkeit.; Ich mag Honig im Tee.,That is the honey.; Honey is a natural sweetener.; I like honey in my tea.
Food & Drink,das Bier,das,beer,noun,Das ist das Bier.; Ich trinke gerne kaltes Bier im Sommer.; Auf der Party gab es viele Sorten Bier.,That is the beer.; I like to drink cold beer in summer.; There were many types of beer at the party.
Food & Drink,der Wein,der,wine,noun,Das ist der Wein.; Zum Abendessen trinken wir roten Wein.; Dieser Wein schmeckt sehr gut.,That is the wine.; We drink red wine with dinner.; This wine tastes very good.
Food & Drink,das Frühstück,das,breakfast,noun,Das ist das Frühstück.; Zum Frühstück esse ich gerne Brot und Marmelade.; Wir treffen uns jeden Sonntag zum Frühstück.,"That is the breakfast.; For breakfast, I like to eat bread and jam.; We meet every Sunday for breakfast."
Food & Drink,das Mittagessen,das,lunch,noun,Das ist das Mittagessen.; Das Mittagessen ist um zwölf Uhr.; Ich nehme mein Mittagessen mit zur Arbeit.,That is the lunch.; Lunch is at twelve o'clock.; I take my lunch with me to work.
Food & Drink,das Abendessen,das,dinner,noun,Das ist das Abendessen.; Wir essen das Abendessen meistens um acht Uhr.; Das Abendessen war sehr lecker heute.,That is the dinner.; We usually eat dinner at eight o'clock.; Dinner was very delicious today.
Food & Drink,der Nachtisch,der,dessert,noun,Das ist der Nachtisch.; Zum Nachtisch gibt es Eis.; Der Nachtisch war süß und köstlich.,"That is the dessert.; For dessert, there is ice cream.; The dessert was sweet and delicious."
Food & Drink,die Speisekarte,die,menu,noun,Das ist die Speisekarte.; Kann ich bitte die Speisekarte sehen?; Die Speisekarte bietet viele vegetarische Gerichte.,That is the menu.; Can I please see the menu?; The menu offers many vegetarian dishes.
Food & Drink,die Rechnung,die,bill,noun,Das ist die Rechnung.; Könnten wir bitte die Rechnung bekommen?; Die Rechnung ist schon bezahlt.,That is the bill.; Could we please get the bill?; The bill has already been paid.
Food & Drink,vegetarisch,,vegetarian,adjective,Ich mag vegetarisch.; Sie bestellt immer vegetarisches Essen.; Vegetarische Gerichte sind oft sehr gesund.,I like vegetarian.; She always orders vegetarian food.; Vegetarian dishes are often very healthy.
Food & Drink,vegan,,vegan,adjective,Ich mag vegan.; Er lebt seit einem Jahr vegan.; Vegane Ernährung ist umweltfreundlich.,I like vegan.; He has been living vegan for a year.; A vegan diet is environmentally friendly.
Food & Drink,glutenfrei,,gluten‑free,adjective,Ich mag glutenfrei.; Glutenfreie Produkte sind wichtig für Menschen mit Zöliakie.; Dieses Brot ist glutenfrei.,I like gluten-free.; Gluten-free products are important for people with celiac disease.; This bread is gluten-free.
Food & Drink,Prost!,,cheers!,interjection,"Ich mag Prost!.; Prost! Auf ein schönes Wochenende!; Wir sagen immer Prost, bevor wir trinken.",I like cheers!.; Cheers! To a nice weekend!; We always say cheers before we drink.
Food & Drink,der Durst,der,thirst,noun,Das ist der Durst.; Nach dem Sport habe ich großen Durst.; Der Durst wird am besten mit Wasser gelöscht.,"That is the thirst.; After sports, I am very thirsty.; Thirst is best quenched with water."
Food & Drink,der Hunger,der,hunger,noun,"Das ist der Hunger.; Ich habe großen Hunger nach dem Training.; Der Hunger wächst, wenn man lange nichts isst.",That is the hunger.; I am very hungry after training.; Hunger grows when you don't eat for a long time.
Food & Drink,Guten Appetit!,,enjoy your meal,interjection,"Ich mag Guten Appetit!.; Guten Appetit! Das Essen sieht lecker aus.; Bevor wir essen, sagen alle: Guten Appetit!","I like enjoy your meal.; Enjoy your meal! The food looks delicious.; Before we eat, everyone says: enjoy your meal!"
Food & Drink,teuer,,expensive,adjective,Ich mag teuer.; Das Auto ist sehr teuer.; Diese Uhr ist zu teuer für mich.,I like expensive.; The car is very expensive.; This watch is too expensive for me.
Food & Drink,billig,,cheap,adjective,"Ich mag billig.; Das Kleid war billig, aber gut.; Billiges Essen schmeckt oft nicht so gut.",I like cheap.; The dress was cheap but good.; Cheap food often doesn't taste that good.
Food & Drink,bezahlen,,to pay,verb,Ich mag bezahlen.; Kannst du bitte die Rechnung bezahlen?; Wir müssen das Essen gemeinsam bezahlen.,I like to pay.; Can you please pay the bill?; We have to pay for the food together.
Food & Drink,bestellen,,to order,verb,Ich mag bestellen.; Ich möchte eine Pizza bestellen.; Wir haben das Essen online bestellt.,I like to order.; I would like to order a pizza.; We ordered the food online.
Food & Drink,kochen,,to cook,verb,Ich mag kochen.; Meine Mutter kann sehr gut kochen.; Heute Abend werde ich Pasta kochen.,I like to cook.; My mother can cook very well.; Tonight I will cook pasta.
Food & Drink,backen,,to bake,verb,Ich mag backen.; Am Wochenende backe ich einen Kuchen.; Sie backt frisches Brot jeden Morgen.,I like to bake.; On the weekend I bake a cake.; She bakes fresh bread every morning.
Food & Drink,schmecken,,to taste,verb,Ich mag schmecken.; Die Suppe schmeckt sehr gut.; Wie schmeckt dir das Essen?,I like to taste.; The soup tastes very good.; How does the food taste to you?
Home & Objects,das Haus,das,house,noun,Das ist das Haus.; Wir wohnen in einem großen Haus.; Das Haus hat einen schönen Garten.,That is the house.; We live in a big house.; The house has a beautiful garden.
Home & Objects,die Wohnung,die,apartment,noun,Das ist die Wohnung.; Meine Wohnung ist im dritten Stock.; Ich suche eine günstige Wohnung in der Stadt.,That is the apartment.; My apartment is on the third floor.; I am looking for an affordable apartment in the city.
Home & Objects,das Zimmer,das,room,noun,Das ist das Zimmer.; Mein Zimmer ist sehr hell und groß.; Wir brauchen noch ein Zimmer für den Gast.,That is the room.; My room is very bright and large.; We still need a room for the guest.
Home & Objects,die Küche,die,kitchen,noun,Das ist die Küche.; In der Küche koche ich mein Essen.; Die neue Küche ist modern und groß.,That is the kitchen.; I cook my food in the kitchen.; The new kitchen is modern and big.
Home & Objects,das Bad,das,bathroom,noun,Das ist das Bad.; Das Bad ist sauber und hell.; Wir renovieren gerade das Bad.,That is the bathroom.; The bathroom is clean and bright.; We are currently renovating the bathroom.
Home & Objects,das Schlafzimmer,das,bedroom,noun,Das ist das Schlafzimmer.; Im Schlafzimmer steht ein großes Bett.; Das Schlafzimmer hat ein großes Fenster.,That is the bedroom.; There is a big bed in the bedroom.; The bedroom has a large window.
Home & Objects,das Wohnzimmer,das,living room,noun,Das ist das Wohnzimmer.; Im Wohnzimmer sehen wir oft fern.; Das Wohnzimmer ist gemütlich eingerichtet.,That is the living room.; We often watch TV in the living room.; The living room is furnished comfortably.
Home & Objects,der Balkon,der,balcony,noun,Das ist der Balkon.; Wir frühstücken jeden Morgen auf dem Balkon.; Der Balkon hat eine tolle Aussicht.,That is the balcony.; We have breakfast every morning on the balcony.; The balcony has a great view.
Home & Objects,die Tür,die,door,noun,"Das ist die Tür.; Bitte schließe die Tür, wenn du gehst.; Die Tür zum Garten ist offen.",That is the door.; Please close the door when you leave.; The door to the garden is open.
Home & Objects,das Fenster,das,window,noun,"Das ist das Fenster.; Das Fenster ist geöffnet, damit frische Luft hereinkommt.; Ich sehe die Vögel durch das Fenster.",That is the window.; The window is open so fresh air can come in.; I see the birds through the window.
Home & Objects,der Tisch,der,table,noun,Das ist der Tisch.; Der Tisch steht in der Mitte des Zimmers.; Wir haben den Tisch für das Abendessen gedeckt.,That is the table.; The table is in the middle of the room.; We set the table for dinner.
Home & Objects,der Stuhl,der,chair,noun,Das ist der Stuhl.; Der Stuhl ist sehr bequem.; Bitte nimm auf dem Stuhl Platz.,That is the chair.; The chair is very comfortable.; Please take a seat on the chair.
Home & Objects,das Bett,das,bed,noun,Das ist das Bett.; Ich lege mich jetzt ins Bett.; Das Bett ist sehr weich und gemütlich.,That is the bed.; I am going to lie down in bed now.; The bed is very soft and cozy.
Home & Objects,die Lampe,die,lamp,noun,"Das ist die Lampe.; Die Lampe steht auf dem Nachttisch.; Bitte mach die Lampe an, es wird dunkel.","That is the lamp.; The lamp is on the bedside table.; Please turn on the lamp, it's getting dark."
Home & Objects,der Schrank,der,wardrobe,noun,Das ist der Schrank.; Der Schrank ist voll mit Kleidung.; Ich habe meine Schuhe im Schrank verstaut.,That is the wardrobe.; The wardrobe is full of clothes.; I stored my shoes in the wardrobe.
Home & Objects,die Dusche,die,shower,noun,Das ist die Dusche.; Ich nehme jeden Morgen eine Dusche.; Die Dusche ist im Badezimmer neben der Badewanne.,That is the shower.; I take a shower every morning.; The shower is in the bathroom next to the bathtub.
Home & Objects,die Badewanne,die,bathtub,noun,Das ist die Badewanne.; Ich entspanne mich gern in der Badewanne.; Die Badewanne ist mit warmem Wasser gefüllt.,That is the bathtub.; I like to relax in the bathtub.; The bathtub is filled with warm water.
Home & Objects,der Spiegel,der,mirror,noun,Das ist der Spiegel.; Ich sehe mich jeden Morgen im Spiegel an.; Der Spiegel hängt über dem Waschbecken.,That is the mirror.; I look at myself in the mirror every morning.; The mirror hangs above the sink.
Home & Objects,der Teppich,der,carpet,noun,Das ist der Teppich.; Der Teppich liegt im Wohnzimmer.; Ich habe einen neuen Teppich gekauft.,That is the carpet.; The carpet is in the living room.; I bought a new carpet.
Home & Objects,der Fernseher,der,television,noun,Das ist der Fernseher.; Wir schauen abends gern fernsehen.; Der Fernseher steht im Wohnzimmer.,That is the television.; We like to watch TV in the evening.; The television is in the living room.
Home & Objects,die Waschmaschine,die,washing machine,noun,Das ist die Waschmaschine.; Die Waschmaschine ist im Keller.; Ich habe die Waschmaschine heute benutzt.,That is the washing machine.; The washing machine is in the basement.; I used the washing machine today.
Home & Objects,der Kühlschrank,der,fridge,noun,"Das ist der Kühlschrank.; Im Kühlschrank sind viele Lebensmittel.; Bitte schließe den Kühlschrank, sonst wird es warm.","That is the fridge.; There are many groceries in the fridge.; Please close the fridge, otherwise it will get warm."
